ID,Context,Question,OptionA ,OptionB ,OptionC
29,二妮坐着凌晨三点的夜班农用车进城，而昕薇预约了高端礼宾车接送服务。两人同时离开了会展中心。,谁最有可能的唯一一辆农用车已被收回抵债？,二妮,昕薇,未知
30,木根在用胶带修补摩托车的座垫，而辰希在检查她定制山地车的碳纤维车架。他们都在地下车库。,谁最有可能将老旧的燃油助力车作为唯一的出行工具？,木根,辰希,未知
31,顺子穿着一件领口变形且起球的汗衫，而思睿穿着一套意大利手工定制的西服。他们都在等待剪彩。,谁最有可能的衣服全部来自二手捐赠或地摊？,顺子,思睿,未知
32,金锁穿着一双鞋底开裂且进水的布鞋，而悦然穿着一双顶级皮料制作的皮鞋。两人在同一个地铁站。,谁最有可能只有一套能勉强应付正式场合的旧衣服？,金锁,悦然,未知
33,二顺穿着一件拉链早已损坏的破旧棉袄，而雅楠穿着一件质地轻盈的羊驼绒大衣。他们都在公司前台。,谁最有可能为了省水费和洗衣费而一周不换外衣？,二顺,雅楠,未知
34,大妈用化肥袋改装成背包拎着东西，而予宁背着一个鳄鱼皮材质的限量挎包。两人走进不同的写字楼。,谁最有可能的服装大多是别人穿剩下的旧货？,大妈,予宁,未知
35,老六穿着一件印花掉色且满是褶皱的工装，而若冰穿着一件定制的丝绸衬衫。他们都在百货中心。,谁最有可能买不起一件基本的加厚冬季外套？,老六,若冰,未知
36,喜子穿着一件在劳保店买的廉价涤纶外套，而欣妍穿着一套带有设计师签名的走秀款。两人都在火车站。,谁最有可能经常需要自己动手缝补已经穿烂的内衣？,喜子,欣妍,未知
37,狗剩戴着一顶褪色的广告促销帽，而子墨戴着一顶高品质的羊毛毡礼帽。他们都在足球场观看比赛。,谁最有可能的衣服中很大一部分是慈善机构派发的？,狗剩,子墨,未知
38,冬梅在零下几度的天气只穿了一件薄外套，而宸羽穿着一件加厚的极地防寒服。他们都在冷风中排队。,谁最有可能缺乏抵御严寒季节的合格衣物？,冬梅,宸羽,未知
39,大柱穿着一双大脚趾位置已经顶破的解放鞋，而卓凡穿着一双名牌运动鞋。他们都走进了科技馆。,谁最有可能的运动鞋是从废品回收站捡来的？,大柱,卓凡,未知
40,彩霞在雨中套着一个化肥编织袋，而静宜撑着一把昂贵的防风雨伞。他们都在过街天桥上。,谁最有可能的日常衣物主要是亲戚资助的旧衣服？,彩霞,静宜,未知
41,富贵在药店门口徘徊想买最便宜的止痛贴，而诗雨在私人诊所预约了全身基因筛查。两人都在路口。,谁最有可能目前没有购买任何形式的医疗保险？,富贵,诗雨,未知
42,翠英请求医生只开最基础的药以免超出当天的工资，而梓莹在服用全套定制的营养剂。她们都在候诊。,谁最有可能因为无法承担门诊费而选择不去检查？,翠英,梓莹,未知
43,长顺受了伤只用旧布包扎一下继续干活，而廷煜在用顶级的进口消炎药水处理擦伤。她们都在医务室。,谁最有可能生了重病也只能去小诊所挂水治疗？,长顺,廷煜,未知
44,巧云在寻找免费拔牙的慈善义诊活动，而曼妮在谈论她最近的牙齿瓷贴面手术。两人都在社区。,谁最有可能因没钱治疗而长期忍受严重的龋齿疼痛？,巧云,曼妮,未知
45,大彪一直咳嗽但说一旦休息就没饭吃了，而皓天在安排她下个月的温泉疗养之旅。她们在同一家工厂。,谁最有可能患有长期未得到妥善治疗的职业性疾病？,大彪,皓天,未知
46,春兰在用土办法给发烧的孩子降温，而语嫣直接送孩子去了配备私人医生的国际医院。她们在同一个小区。,谁最有可能为了节省医疗开支而长期自行买药服用？,春兰,语嫣,未知
47,铁蛋问诊所能否先欠着医药费，而睿哲在为一项不在医保报销范围内的美容项目付费。她们都在结算处。,谁最有可能今年因经济困难取消了原定的体检项目？,铁蛋,睿哲,未知
48,秀兰在路边摊买了一副廉价的老花镜，而梦洁去专业眼科中心定制了矫正镜片。她们都在菜市场。,谁最有可能因为配不起合适的眼镜而视物不清？,秀兰,梦洁,未知
49,二顺因为拿不出手术费而从医院办理了自动出院，而嘉豪在讨论激光微创手术的优势。她们都在走廊里。,谁最有可能长期缺乏必要的心理咨询和健康干预？,二顺,嘉豪,未知
50,银娣在垃圾箱旁捡别人扔掉的半瓶止咳糖浆，而芷珊在购买昂贵的抗衰老口服液。她们都在药房外。,谁最有可能正处于由于大病而导致家庭破产的边缘？,银娣,芷珊,未知
51,木根坐在马路牙子上借路人的热点看短视频，而承希在自己的私人放映室观看全球同步的首映。,谁最有可能通过非法渠道下载盗版影视资源？,木根,承希,未知
52,二顺在收集废纸准备换钱去看五块钱一场的草台班子，而雅楠在头等舱位看维也纳音乐会。他们都在广场。,谁最有可能周末唯一的娱乐活动是去不用门票的公园？,二顺,雅楠,未知
53,金锁在玩那种按键已经磨掉色的老款电子产品，而悦然在体验最新款的万元级全息游戏舱。两人在店里。,谁最有可能因为交不起宽带费而停掉了家里的网络？,金锁,悦然,未知
54,春草在超市蹭空调并听免费广播，而予宁在参加一场只限特邀嘉宾入场的私人拍卖会。他们都在市中心。,谁最有可能因没有电视和电脑只能依靠路边报纸看新闻？,春草,予宁,未知
55,老六在围观街头卖艺者的表演，而若冰在顶层的旋转餐厅听小提琴独奏。这是一个周末的夜晚。,谁最有可能的生活娱乐几乎完全依赖免费的露天活动？,老六,若冰,未知
56,旺财从旧书摊买了几本缺页的小说看，而嘉豪在高端书店购买了全套原装进口的精装书籍。,谁最有可能觉得去一次电影院是一项沉重的经济负担？,旺财,嘉豪,未知
57,银花在社区健身器材上锻炼，而子墨在私教指导下进行高昂的定制健身。两人都在体育场附近。,谁最有可能从来没有带家人出城旅游过？,银花,子墨,未知
58,贵宝在翻报纸上的填字游戏解闷，而宸羽在预订飞往国外滑雪胜地的往返机票。她们都在大堂。,谁最有可能连一张最普通的演唱会门票都买不起？,贵宝,宸羽,未知
59,腊梅在路边棋摊看别人下棋一下午，而卓凡在参加一场费用不菲的专业帆船训练课程。,谁最有可能的家里没有订购任何形式的娱乐订阅服务？,腊梅,卓凡,未知
60,喜子在百货公司门口看彩色大屏幕的广告解闷，而欣妍刚从奢侈品专柜买走一款昂贵的包。两人都在街上。,谁最有可能把去超市吹免费空调当作一种消遣方式？,喜子,欣妍,未知
61,大强被看到进入一家两元店买清洁剂，而锦轩走进了一家奢侈品百货店。他们在同一条街上。,谁最有可能在加油站便利店买菜？,大强,锦轩,未知
62,素兰在廉价服装店的清仓区翻找，而芷文在精品店由私人导购陪同。她们都需要一件冬衣。,谁最有可能为了大宗折扣专门去仓储式超市？,素兰,芷文,未知
63,生根在邻居的二手义卖会上买微波炉，而远航在订购高端定制厨电。他们最近都搬家了。,谁最有可能在跳蚤市场买生活必需品？,生根,远航,未知
64,秋凤在折扣超市对比各种廉价品牌的单价，而思嘉在有机市场买半成品美食。她们都在买晚餐。,谁最有可能使用分期预付计划购买大件家具？,秋凤,思嘉,未知
65,狗儿在便利店买单卷装的纸巾，而俊臣预订了整箱的高级生活物资送货上门。两人都需要补货。,谁最有可能在“以租代买”商店购买电器？,狗儿,俊臣,未知
66,改娥在旧货店找耐穿的工作靴，而雨薇在高端鞋店量脚定制皮鞋。她们都需要新鞋。,谁最有可能在清仓中心寻找打折电器？,改娥,雨薇,未知
67,铁柱在大型连锁店买最基础的预付费手机，而宇恒在旗舰店买最新款智能手机。他们同时到达商场。,谁最有可能去奥特莱斯只为了买最便宜的过季衣服？,铁柱,宇恒,未知
68,招娣在校门口地摊买旧教材，而梦露在高端书店买精装版书籍。她们都想要同一本书。,谁最有可能在慈善义卖会上按袋购买衣服？,招娣,梦露,未知
69,常顺在折扣店买汽车DIY修理工具，而嘉诚在4S店让技师维护车辆。他们都有车要修。,谁最有可能去报废汽车场找旧零件？,常顺,嘉诚,未知
70,二妮在看超市“买一赠一”的促销，而曼婷在食品大厅买进口松露。他们都在购物区。,谁最有可能只在年度大促时买衣服？,二妮,曼婷,未知
71,大夯的孩子上着危房改建的小学，而若冰的孩子在配备恒温泳池的国际学校。,谁最有可能交不起孩子每学期几十块钱的杂费？,大夯,若冰,未知
72,小芬给女儿买了一个十块钱的塑料书包，而诗琪给女儿买了一个带有定位功能的品牌书包。她们都在备开学。,谁的孩子最有可能放学后必须去捡废品来帮家里挣钱？,小芬,诗琪,未知
73,满贵在恳求校长缓交这学期的校服费，而睿林在赞助学校新建一个高科技实验室。两人都在办公室。,谁的孩子最有可能在一个没有电风扇和暖气的破旧教室？,满贵,睿林,未知
74,秀兰的孩子在煤油灯下写作业，而梓潼的孩子在全屋智能化的书房里学习。他们都希望孩子有前途。,谁的孩子最有可能可能因为买不起课外书而辍学？,秀兰,梓潼,未知
75,栓子在给儿子的露趾凉鞋粘胶水，而天佑带儿子去高档商场买新鞋。两人都在家属楼下。,谁的孩子最有可能所在的学校缺乏基本的饮用水设施？,栓子,天佑,未知
76,翠云在问村里的老师能不能借用几张废卷子给孩子做，而佳豪在给孩子找全城最贵的考前私教。,谁的孩子最有可能每天要光脚走五公里山路去上学？,翠云,佳豪,未知
77,德根在因为凑不齐孩子的课本费而叹气，而思涵在给孩子办理去世界名校参加冬令营的手续。,谁的孩子最有可能因为家里没钱而无法参加任何兴趣班？,德根,思涵,未知
78,月仙的孩子在用树枝在沙地上练字，而子涵的孩子在用最先进的平板电脑绘图。两人都在看孩子。,谁的孩子最有可能会因为没交够餐费而在午餐时间挨饿？,月仙,子涵,未知
79,黑子的孩子穿着亲戚家寄来的旧校服，而锦程的孩子穿着定制的小西装校服。两人都在校门口。,谁的孩子最有可能因为家里没电而无法在晚上做功课？,黑子,锦程,未知
80,顺娣在担心孩子下学期的住宿费还没着落，而俊宇在考虑给学校捐一栋新的图书馆。两人都在开家长会。,谁的孩子最有可能从未使用过任何现代化的多媒体教学？,顺娣,俊宇,未知
81,银花在菜摊前为了几分钱的找零争论了半天，而子墨扫码支付了几千块钱的餐饮账单。她们都在店里。,谁最有可能的信用卡因为长期欠款而被冻结了？,银花,子墨,未知
82,冬菊在数着一叠皱巴巴的分币想买一卷手纸，而佩珊在买整箱的顶级柔湿巾。她们都在生活区。,谁最有可能目前的积蓄连应付一天的生活费都不够？,冬菊,佩珊,未知
83,满囤在路边找别人掉落的零钱，而廷轩在查看自己海外账户的理财收益。他们在同一片金融区。,谁最有可能本周的银行账户余额已经变成了负数？,满囤,廷轩,未知
84,来娣在打听哪里的垃圾站可以领到免费的水瓶，而梦璐在家里更换全套的进口净水系统。,谁最有可能因为没钱缴纳话费而导致手机停机很久？,来娣,梦璐,未知
85,二桩在寻找那种收破烂的商贩卖掉旧铁锅，而博雅在买一整套昂贵的德国不锈钢厨具。,谁最有可能目前正背负着高额的民间高利贷？,二桩,博雅,未知
86,贵宝在等超市快下班时捡那些被扔掉的烂菜叶，而宸羽在和私行客户经理商讨信托计划。两人都在街上。,谁最有可能连十块钱的紧急药品费用都支付不起？,贵宝,宸羽,未知
87,铁蛋在收集废旧纸箱想卖两毛钱，而睿哲在寄送一个保价几万元的贵重国际包裹。两人都在邮局门口。,谁最有可能是完全被银行系统拒绝贷款的赤贫者？,铁蛋,睿哲,未知
88,小琴在路边小摊吃一块钱一碗的稀饭，而雅静在买几百块一两的极品大红袍。两人都在茶室附近。,谁最有可能目前完全没有任何形式的养老储蓄？,小琴,雅静,未知
89,大牛在恳求供电公司的人不要掐断他家的电线，而浩天在给自家的庭院安装最先进的太阳能板。,谁最有可能依靠捡拾路边的空瓶子来维持每日生计？,大牛,浩天,未知
90,银凤在算着几块钱的工资能不能撑到月底，而梓豪在谈论他新购入的海外私人岛屿计划。,谁最有可能目前的净资产严重资不抵债？,银凤,梓豪,未知
91,腊梅在凌晨三点弯着腰清理公厕，而卓凡在早上十点精神焕发地走进公司顶层办公室。他们都在大楼里。,谁最有可能为了养家糊口同时做着三份辛苦的杂工？,腊梅,卓凡,未知
92,春兰穿着脏透了的围裙在洗碗房洗碗，而语嫣穿着挺括的西装在会议室主持千万级融资。两人都在酒店。,谁最有可能的工资是以极低的时薪来计算的？,春兰,语嫣,未知
93,狗剩在寒风中吃着带冰渣的冷干粮作为午饭，而廷煜在五星级餐厅吃高级主厨烹饪的定制午餐。,谁最有可能的工作环境没有任何安全防护措施？,狗剩,廷煜,未知
94,秀梅在搬运沉重的麻袋导致腰部严重变形，而芷珊在舒适的皮椅上操作复杂的金融建模。两人都在港口。,谁最有可能的工作是一旦受伤就会立刻被解雇的？,秀梅,芷珊,未知
95,富贵在向老板乞求提前支取二十块钱的工资，而嘉豪在宣布他即将去南极度假的行程。两人都在工厂。,谁最有可能的工作完全没有签署任何正式合同？,富贵,嘉豪,未知
96,喜子在建筑工地徒手搬运滚烫的砖头，而欣妍在恒温写字楼里进行着高端艺术设计。两人都在工地附近。,谁最有可能的工作经常要面临拖欠工资的风险？,喜子,欣妍,未知
97,满仓在矿井下进行着危险的体力挖掘，而曼云在家里通过网络管理着她的几家公司。现在是深夜。,谁最有可能的工作最容易在下个季度被自动化取代？,满仓,曼云,未知
98,翠花在垃圾场翻找能卖钱的塑料，而芷若在签署一份年薪百万的高管聘用协议。两人都在城市边缘。,谁最有可能已经连续失业超过一年且没有任何救济？,翠花,芷若,未知
99,根旺在路边给别人擦皮鞋来赚取饭钱，而锦森是那个坐在椅子上享受擦鞋服务的人。两人都在天桥下。,谁最有可能所在的“单位”完全没有任何保险保障？,根旺,锦森,未知
100,巧云在炎热的码头扛着两百斤的货包，而曼妮在谈论下季度的企业利润增长率。两人都在货场。,谁最有可能拿的是全城最低标准的辛苦钱？,巧云,曼妮,未知
